leaf_id,date_processed,leaf_area_cm2,lesion_area_cm2,severity_pct,lesion_count,mean_lesion_size_px,leaf_mean_r,leaf_mean_g,leaf_mean_b,lesion_mean_r,lesion_mean_g,lesion_mean_b,lesion_to_leaf_color_ratio_g,exg_mean,ndvi_proxy_mean,leaf_solidity,leaf_circularity,leaf_aspect_ratio,damage_pct_inpaint,lesion_glcm_contrast,lesion_glcm_dissimilarity
1763926042,2025-11-24T03:27:26.155456,69.17089211550001,13.227931092600002,19.12355137839237,1798,173.59621802002223,107.57974518351504,105.7466631539284,83.95064194270765,91.01745128569873,83.70837097838694,61.67066505193416,0.7915934979105508,19.9629391816341,-0.010683883155035111,1.0007710478432887,0.42111746462634436,0.23994935106046217,17.513011054414992,4.7783483413742465,0.42009791435677685
1763926117,2025-11-24T03:28:40.132109,68.44907425230001,11.084006593800002,16.19307012530934,1672,156.42224880382776,126.79690153629166,124.74577725659283,95.61312605912985,111.47129671405303,102.62618051678915,74.65393174223249,0.8226826011568688,27.081526917764155,-0.009756814507948271,1.0009748690775,0.42504339783444633,0.24162144909032876,15.353308522358999,5.5867629733841175,0.4368211158006307
1763926608,2025-11-24T03:36:51.253778,68.69644689600001,11.8171399437,17.201966735761523,1613,172.86856788592684,133.3631243213898,130.78910707235218,100.38650244299674,117.73954676029365,108.3323518758271,78.7010834286698,0.8282979699211337,27.828587380317835,-0.011484795531075159,1.0011085960973711,0.42525594189416,0.24121405750798722,15.837419259222665,5.51957086988283,0.4465512887973987
1763942476,2025-11-24T08:01:19.709930,68.77891857060001,13.227337771200002,19.23167453937566,1699,183.70335491465568,128.43327155115577,125.64035933073141,96.81314506200606,113.20220625929154,104.24852937407086,76.01267814118009,0.8297375933130736,26.034302048301008,-0.01292156417683803,0.9992008393034373,0.4235502514130096,0.24092934436664545,15.848243320635982,5.659681577959133,0.47527035113590227
1763942965,2025-11-24T08:09:28.805935,69.55803432900001,12.0670553934,17.34818344107379,1586,179.5296343001261,129.7438849929019,127.27953012569381,98.17775103729383,113.19677664065408,104.24342017461912,75.92043099875673,0.8190116672466847,26.637424221191868,-0.01147083141669338,0.9989659090839926,0.41810501542294415,0.23784122999686225,16.386003770344225,5.2990983672195995,0.42823480643865014
1763943068,2025-11-24T08:11:11.092662,68.83723358820001,11.680294600800002,16.967989548612863,1647,167.33940497874923,133.93880619252076,131.37646110712302,100.66256290471729,118.47879234274768,109.15343168558243,79.50711517807902,0.83084466399639,28.15155311700801,-0.011351546020184755,1.0005112562613492,0.42534231916999876,0.24146730462519936,15.264417598850951,5.70703233527404,0.4611141681834449
1763943342,2025-11-24T08:15:45.779233,69.22590148530001,11.564554547700002,16.705531166185988,1670,163.3994011976048,128.41324298893204,126.11895781513151,97.23590700191558,113.00777639742448,104.17442657314467,76.21940288115158,0.8260013274597963,26.5887656394154,-0.010724310445346606,1.0006738738495902,0.42357578111863986,0.24048223350253808,15.900791254185048,5.2227753507603545,0.4274264540635945
1763943424,2025-11-24T08:17:07.348300,69.04218375180001,11.154442320000001,16.155981334685393,1662,158.36341756919373,128.46082665589603,126.26304847162699,96.62400206737634,113.02658434650456,103.95794072948328,75.36249620060791,0.823344137400928,27.44126821998161,-0.010257132305474741,1.0002541898343713,0.4231513022478796,0.24078780177890724,15.265048527590066,5.561169801655251,0.43784448594725095
1763943612,2025-11-24T08:20:14.859448,68.7195016704,12.368886465600001,17.999092200820964,1660,175.81686746987953,133.7489805760578,130.9374000927534,100.25756766557467,118.79849309248397,109.48452318951811,79.76739213858889,0.8361592876593051,27.868251943874327,-0.01239475808170637,1.0005896151827607,0.42462718051404746,0.24139030612244897,15.341707041961511,5.596878631283598,0.4620532635497068
1763951748,2025-11-24T10:35:50.860548,63.01607257260001,17.345327328000003,27.52524335441037,1341,305.2050708426547,128.4489719057976,123.98797115660093,94.85336257486922,112.7095191555903,103.26875,73.99770328381547,0.8328932963147541,24.673607832535044,-0.020694454389667324,1.001620051181492,0.43856131361048106,0.24694708276797828,16.770185917071448,6.354695604667422,0.5786168612389058
